127.0.0.1 - - [13/Aug/2021:08:40:51 +0900] "GET /index.jsp HTTP/1.1" 200 918
127.0.0.1 - - [13/Aug/2021:08:40:51 +0900] "GET /wms/index.page HTTP/1.1" 200 9732
127.0.0.1 - - [13/Aug/2021:08:40:51 +0900] "GET /common/js/grid.js HTTP/1.1" 200 385890
127.0.0.1 - - [13/Aug/2021:08:40:51 +0900] "POST /common/SajoCommon/list/json/LOGIN_OWNRKY_COMCOMBO.data HTTP/1.1" 200 199
127.0.0.1 - - [13/Aug/2021:08:40:51 +0900] "POST /common/SajoCommon/list/json/LOGIN_WAREKY_COMCOMBO.data HTTP/1.1" 200 623
127.0.0.1 - - [13/Aug/2021:08:40:55 +0900] "POST /common/json/login.data HTTP/1.1" 200 22
127.0.0.1 - - [13/Aug/2021:08:42:03 +0900] "POST /common/json/login.data HTTP/1.1" 200 22
127.0.0.1 - - [13/Aug/2021:08:42:04 +0900] "GET /wms/main.page HTTP/1.1" 200 15547
127.0.0.1 - - [13/Aug/2021:08:42:04 +0900] "GET /common/lang/label-KO.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2021:08:42:04 +0900] "GET /common/lang/message-KO.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2021:08:42:04 +0900] "GET /wms/top.data HTTP/1.1" 200 4170
127.0.0.1 - - [13/Aug/2021:08:42:04 +0900] "GET /wms/left.data HTTP/1.1" 200 8411
127.0.0.1 - - [13/Aug/2021:08:42:04 +0900] "GET /wms/info.page HTTP/1.1" 200 264
127.0.0.1 - - [13/Aug/2021:08:42:04 +0900] "GET /webdek/wintab.page HTTP/1.1" 200 8502
127.0.0.1 - - [13/Aug/2021:08:42:04 +0900] "GET /common/lang/message-KO.js?v=1628811724681 HTTP/1.1" 200 166417
127.0.0.1 - - [13/Aug/2021:08:42:04 +0900] "GET /common/lang/label-KO.js?v=1628811724681 HTTP/1.1" 200 2242687
127.0.0.1 - - [13/Aug/2021:08:42:05 +0900] "POST /common/Common/list/json/LINKURLCOMBO.data HTTP/1.1" 200 1373
